Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
23307015,Clade,James  Bradley,"Bradley, James",,"=""""","=""9781926428659""",0,3.67,Hamish Hamilton,Paperback,239,2015,2015,,2018/10/06,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
34848215,The Woman in the Window,A.J. Finn,"Finn, A.J.",Ann Marie Lee,"=""0062678434""","=""9780062678430""",3,3.94,HarperCollins,Audiobook,13,2018,2018,2018/10/03,2018/10/03,audiobook,audiobook (#104),read,,,,1,,,0,,,,,
27905086,My Name Is Lucy Barton,Elizabeth Strout,"Strout, Elizabeth",Kimberly Farr,"=""1467622281""","=""9781467622288""",4,3.51,Random House,Audiobook,55,2016,2016,2018/09/21,2018/09/18,audiobook,audiobook (#103),read,,,,1,,,0,,,,,
25795843,Bel Canto,Ann Patchett,"Patchett, Ann",Anna Fields,"=""""","=""""",4,3.93,HarperAudio,Audible Audio,,2004,2001,2018/09/18,2018/09/09,audiobook,audiobook (#102),read,,,,1,,,0,,,,,
25147754,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""0147520509""","=""9780147520500""",0,4.40,Random House Audio,Audiobook,4,2015,2015,2018/08/31,2018/08/31,audiobook,audiobook (#101),read,,,,1,,,0,,,,,
18077802,The Underground Girls of Kabul: In Search of a Hidden Resistance in Afghanistan,Jenny Nordberg,"Nordberg, Jenny",,"=""0307952495""","=""9780307952493""",0,4.09,Crown Publishing Group (NY),Hardcover,350,2014,2014,,2018/08/31,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
764073,When the Emperor Was Divine,Julie Otsuka,"Otsuka, Julie",,"=""0385721811""","=""9780385721813""",0,3.73,Anchor Books,Paperback,144,2003,2002,,2018/08/28,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
6469165,What Alice Forgot,Liane Moriarty,"Moriarty, Liane",,"=""0141043768""","=""9780141043760""",4,4.08,PanMacmillan Australia,Paperback,476,2010,2009,2018/08/26,2018/08/05,,,read,,,,1,,,0,,,,,
40055708,"Us Against You (Beartown, #2)",Fredrik Backman,"Backman, Fredrik","Marin Ireland, Neil Smith","=""""","=""""",5,4.34,Simon & Schuster Audio ,Audible Audio,15,2018,2017,2018/08/20,2018/06/05,audiobook,audiobook (#100),read,,,,1,,,0,,,,,
11021899,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,"Kaling, Mindy",,"=""""","=""""",4,3.85,Three Rivers Press,Kindle Edition,242,2011,2011,2018/08/19,2018/08/05,,,read,,,,1,,,0,,,,,
23420,How Proust Can Change Your Life,Alain de Botton,"Botton, Alain de",,"=""0679779159""","=""9780679779155""",0,3.76,Vintage,Paperback,208,1998,1997,,2018/08/14,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
25421179,Small Victories: Spotting Improbable Moments of Grace,Anne Lamott,"Lamott, Anne",,"=""""","=""""",3,3.88,,Audible Audio,,,2014,2018/08/05,2018/07/25,audiobook,audiobook (#99),read,,,,1,,,0,,,,,
